MH    ENV(+)        CT10(+)       MSTW(+)        NNPDF23(+)    ENV(-)        CT10(-)       MSTW(-)       NNPDF23(-)        <ENV> 
200    2.1222E-01    1.9792E-01    2.1222E-01    2.1127E-01    1.9345E-01    1.9792E-01    1.9718E-01    1.9345E-01    2.0283E-01
220    1.7122E-01    1.5940E-01    1.7122E-01    1.7061E-01    1.5494E-01    1.5940E-01    1.5812E-01    1.5494E-01    1.6308E-01
240    1.3939E-01    1.2965E-01    1.3939E-01    1.3850E-01    1.2563E-01    1.2965E-01    1.2860E-01    1.2563E-01    1.3251E-01
260    1.1464E-01    1.0591E-01    1.1464E-01    1.1339E-01    1.0233E-01    1.0591E-01    1.0489E-01    1.0233E-01    1.0849E-01
280    9.4802E-02    8.6879E-02    9.4802E-02    9.2706E-02    8.3394E-02    8.6879E-02    8.5776E-02    8.3394E-02    8.9098E-02
300    7.7976E-02    7.2032E-02    7.7976E-02    7.6521E-02    6.8539E-02    7.2032E-02    7.0232E-02    6.8539E-02    7.3257E-02
320    6.4819E-02    5.9746E-02    6.4819E-02    6.3369E-02    5.6488E-02    5.9746E-02    5.7867E-02    5.6488E-02    6.0654E-02
340    5.4248E-02    4.9785E-02    5.4248E-02    5.2655E-02    4.6769E-02    4.9785E-02    4.7859E-02    4.6769E-02    5.0508E-02
360    4.5459E-02    4.1556E-02    4.5459E-02    4.3792E-02    3.8717E-02    4.1556E-02    3.9590E-02    3.8717E-02    4.2088E-02
380    3.8285E-02    3.4832E-02    3.8285E-02    3.6599E-02    3.2223E-02    3.4832E-02    3.2901E-02    3.2223E-02    3.5254E-02
400    3.2335E-02    2.9291E-02    3.2335E-02    3.0572E-02    2.6823E-02    2.9291E-02    2.7446E-02    2.6823E-02    2.9579E-02
420    2.7426E-02    2.4758E-02    2.7426E-02    2.5986E-02    2.2297E-02    2.4758E-02    2.2903E-02    2.2297E-02    2.4862E-02
440    2.3381E-02    2.0963E-02    2.3381E-02    2.1779E-02    1.8947E-02    2.0963E-02    1.9237E-02    1.8947E-02    2.1164E-02
460    1.9943E-02    1.7778E-02    1.9943E-02    1.8406E-02    1.5944E-02    1.7778E-02    1.6107E-02    1.5944E-02    1.7943E-02
480    1.7057E-02    1.4639E-02    1.7057E-02    1.5678E-02    1.3479E-02    1.4639E-02    1.3479E-02    1.3540E-02    1.5268E-02
500    1.4674E-02    1.2906E-02    1.4674E-02    1.3260E-02    1.1360E-02    1.2906E-02    1.1360E-02    1.1405E-02    1.3017E-02
520    1.2626E-02    1.1039E-02    1.2626E-02    1.1335E-02    9.5653E-03    1.1039E-02    9.5653E-03    9.7137E-03    1.1095E-02
540    1.1016E-02    9.4442E-03    1.1016E-02    9.7046E-03    8.1014E-03    9.4442E-03    8.1014E-03    8.2814E-03    9.5586E-03
560    9.5352E-03    8.1583E-03    9.5352E-03    8.3294E-03    6.8489E-03    8.1583E-03    6.8489E-03    7.0773E-03    8.1920E-03
580    8.3338E-03    7.0468E-03    8.3338E-03    7.1723E-03    5.8144E-03    7.0468E-03    5.8144E-03    6.0387E-03    7.0741E-03
